# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-10 18:39:54 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 13337000 LOCHSA RIVER NR LOWELL ID
# -----------------------------------------------------------------------------------
#
# Data provided for site 13337000
#            TS   parameter     statistic     Description
#         46504       00010     00001     Temperature, water, degrees Celsius (Maximum)
#         46505       00010     00002     Temperature, water, degrees Celsius (Minimum)
#         46507       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	46507_00060_00003	46507_00060_00003_cd
USGS	13337000	1982-11-21	981	A
USGS	13337000	1982-11-22	891	A
USGS	13337000	1982-11-23	716	A
USGS	13337000	1982-11-24	601	A
USGS	13337000	1982-11-25	681	A
USGS	13337000	1982-11-26	797	A
USGS	13337000	1982-11-27	815	A
USGS	13337000	1982-11-28	901	A
USGS	13337000	1982-11-29	920	A
USGS	13337000	1982-11-30	891	A
USGS	13337000	1982-12-01	834	A
USGS	13337000	1982-12-02	797	A
USGS	13337000	1982-12-03	862	A
USGS	13337000	1982-12-04	1200	A
USGS	13337000	1982-12-05	1350	A
USGS	13337000	1982-12-06	1290	A
USGS	13337000	1982-12-07	1130	A
USGS	13337000	1982-12-08	881	A
USGS	13337000	1982-12-09	806	A
USGS	13337000	1982-12-10	700	A
USGS	13337000	1982-12-11	680	A
USGS	13337000	1982-12-12	690	A
USGS	13337000	1982-12-13	720	A
USGS	13337000	1982-12-14	760	A
USGS	13337000	1982-12-15	872	A
USGS	13337000	1982-12-16	940	A
USGS	13337000	1982-12-17	1080	A
USGS	13337000	1982-12-18	1050	A
USGS	13337000	1982-12-19	970	A
USGS	13337000	1982-12-20	930	A
USGS	13337000	1982-12-21	1010	A
USGS	13337000	1982-12-22	1140	A
USGS	13337000	1982-12-23	1080	A
USGS	13337000	1982-12-24	981	A
USGS	13337000	1982-12-25	834	A
USGS	13337000	1982-12-26	815	A
USGS	13337000	1982-12-27	834	A
USGS	13337000	1982-12-28	769	A
USGS	13337000	1982-12-29	716	A
USGS	13337000	1982-12-30	716	A
USGS	13337000	1982-12-31	716	A
USGS	13337000	1983-01-01	778	A
USGS	13337000	1983-01-02	824	A
USGS	13337000	1983-01-03	881	A
USGS	13337000	1983-01-04	991	A
USGS	13337000	1983-01-05	1350	A
USGS	13337000	1983-01-06	2000	A
USGS	13337000	1983-01-07	2560	A
USGS	13337000	1983-01-08	3010	A
USGS	13337000	1983-01-09	2690	A
USGS	13337000	1983-01-10	2300	A
USGS	13337000	1983-01-11	2010	A
USGS	13337000	1983-01-12	1780	A
USGS	13337000	1983-01-13	1620	A
USGS	13337000	1983-01-14	1470	A
USGS	13337000	1983-01-15	1360	A
USGS	13337000	1983-01-16	1300	A
USGS	13337000	1983-01-17	1300	A
USGS	13337000	1983-01-18	1260	A
USGS	13337000	1983-01-19	1170	A
USGS	13337000	1983-01-20	1140	A
USGS	13337000	1983-01-21	1120	A
USGS	13337000	1983-01-22	1080	A
USGS	13337000	1983-01-23	1100	A
USGS	13337000	1983-01-24	1070	A
USGS	13337000	1983-01-25	1030	A
USGS	13337000	1983-01-26	1030	A
USGS	13337000	1983-01-27	1100	A
USGS	13337000	1983-01-28	1190	A
USGS	13337000	1983-01-29	1120	A
USGS	13337000	1983-01-30	1100	A
USGS	13337000	1983-01-31	1080	A
USGS	13337000	1983-02-01	1000	A
USGS	13337000	1983-02-02	950	A
USGS	13337000	1983-02-03	862	A
USGS	13337000	1983-02-04	797	A
USGS	13337000	1983-02-05	787	A
USGS	13337000	1983-02-06	824	A
USGS	13337000	1983-02-07	970	A
USGS	13337000	1983-02-08	1000	A
USGS	13337000	1983-02-09	930	A
USGS	13337000	1983-02-10	911	A
USGS	13337000	1983-02-11	891	A
USGS	13337000	1983-02-12	960	A
USGS	13337000	1983-02-13	1010	A
USGS	13337000	1983-02-14	1070	A
USGS	13337000	1983-02-15	1050	A
USGS	13337000	1983-02-16	1230	A
USGS	13337000	1983-02-17	1470	A
USGS	13337000	1983-02-18	2680	A
USGS	13337000	1983-02-19	3530	A
USGS	13337000	1983-02-20	2930	A
USGS	13337000	1983-02-21	2450	A
USGS	13337000	1983-02-22	2260	A
USGS	13337000	1983-02-23	2150	A
USGS	13337000	1983-02-24	2140	A
USGS	13337000	1983-02-25	2230	A
USGS	13337000	1983-02-26	2420	A
USGS	13337000	1983-02-27	2400	A
USGS	13337000	1983-02-28	2290	A
USGS	13337000	1983-03-01	2180	A
USGS	13337000	1983-03-02	2330	A
USGS	13337000	1983-03-03	2480	A
USGS	13337000	1983-03-04	2610	A
USGS	13337000	1983-03-05	2830	A
USGS	13337000	1983-03-06	3030	A
USGS	13337000	1983-03-07	3000	A
USGS	13337000	1983-03-08	3070	A
USGS	13337000	1983-03-09	3050	A
USGS	13337000	1983-03-10	3270	A
USGS	13337000	1983-03-11	3560	A
USGS	13337000	1983-03-12	3730	A
USGS	13337000	1983-03-13	3800	A
USGS	13337000	1983-03-14	3930	A
USGS	13337000	1983-03-15	3690	A
USGS	13337000	1983-03-16	3400	A
USGS	13337000	1983-03-17	3200	A
USGS	13337000	1983-03-18	3000	A
USGS	13337000	1983-03-19	2740	A
USGS	13337000	1983-03-20	2550	A
USGS	13337000	1983-03-21	2430	A
USGS	13337000	1983-03-22	2310	A
USGS	13337000	1983-03-23	2330	A
USGS	13337000	1983-03-24	2230	A
USGS	13337000	1983-03-25	2130	A
USGS	13337000	1983-03-26	2070	A
USGS	13337000	1983-03-27	2010	A
USGS	13337000	1983-03-28	1960	A
USGS	13337000	1983-03-29	1900	A
USGS	13337000	1983-03-30	2500	A
USGS	13337000	1983-03-31	2610	A
USGS	13337000	1983-04-01	2430	A
USGS	13337000	1983-04-02	2500	A
USGS	13337000	1983-04-03	2420	A
USGS	13337000	1983-04-04	2300	A
USGS	13337000	1983-04-05	2180	A
USGS	13337000	1983-04-06	2130	A
USGS	13337000	1983-04-07	2070	A
USGS	13337000	1983-04-08	2000	A
USGS	13337000	1983-04-09	1940	A
USGS	13337000	1983-04-10	1940	A
USGS	13337000	1983-04-11	1870	A
USGS	13337000	1983-04-12	1750	A
USGS	13337000	1983-04-13	1700	A
USGS	13337000	1983-04-14	1670	A
USGS	13337000	1983-04-15	1670	A
USGS	13337000	1983-04-16	1730	A
USGS	13337000	1983-04-17	1860	A
USGS	13337000	1983-04-18	2130	A
USGS	13337000	1983-04-19	2480	A
USGS	13337000	1983-04-20	2930	A
USGS	13337000	1983-04-21	3430	A
USGS	13337000	1983-04-22	3950	A
USGS	13337000	1983-04-23	5050	A
USGS	13337000	1983-04-24	7210	A
USGS	13337000	1983-04-25	7110	A
USGS	13337000	1983-04-26	5960	A
USGS	13337000	1983-04-27	5220	A
USGS	13337000	1983-04-28	4830	A
USGS	13337000	1983-04-29	4730	A
USGS	13337000	1983-04-30	4850	A
USGS	13337000	1983-05-01	5000	A
USGS	13337000	1983-05-02	5310	A
USGS	13337000	1983-05-03	5240	A
USGS	13337000	1983-05-04	5260	A
USGS	13337000	1983-05-05	5730	A
USGS	13337000	1983-05-06	6570	A
USGS	13337000	1983-05-07	6030	A
USGS	13337000	1983-05-08	6050	A
USGS	13337000	1983-05-09	5640	A
USGS	13337000	1983-05-10	5170	A
USGS	13337000	1983-05-11	4730	A
USGS	13337000	1983-05-12	4360	A
USGS	13337000	1983-05-13	4200	A
USGS	13337000	1983-05-14	4140	A
USGS	13337000	1983-05-15	4420	A
USGS	13337000	1983-05-16	4220	A
USGS	13337000	1983-05-17	4030	A
USGS	13337000	1983-05-18	4810	A
USGS	13337000	1983-05-19	5110	A
USGS	13337000	1983-05-20	5090	A
USGS	13337000	1983-05-21	6260	A
USGS	13337000	1983-05-22	7160	A
USGS	13337000	1983-05-23	8410	A
USGS	13337000	1983-05-24	10200	A
USGS	13337000	1983-05-25	12500	A
USGS	13337000	1983-05-26	15300	A
USGS	13337000	1983-05-27	16400	A
USGS	13337000	1983-05-28	16900	A
USGS	13337000	1983-05-29	17500	A
USGS	13337000	1983-05-30	17500	A
USGS	13337000	1983-05-31	15300	A
USGS	13337000	1983-06-01	13000	A
USGS	13337000	1983-06-02	11500	A
USGS	13337000	1983-06-03	10300	A
USGS	13337000	1983-06-04	10000	A
USGS	13337000	1983-06-05	9070	A
USGS	13337000	1983-06-06	8340	A
USGS	13337000	1983-06-07	8140	A
USGS	13337000	1983-06-08	8260	A
USGS	13337000	1983-06-09	8240	A
USGS	13337000	1983-06-10	8040	A
USGS	13337000	1983-06-11	7720	A
USGS	13337000	1983-06-12	6690	A
USGS	13337000	1983-06-13	5910	A
USGS	13337000	1983-06-14	5280	A
USGS	13337000	1983-06-15	5330	A
USGS	13337000	1983-06-16	5170	A
USGS	13337000	1983-06-17	4880	A
USGS	13337000	1983-06-18	6070	A
USGS	13337000	1983-06-19	5280	A
USGS	13337000	1983-06-20	4560	A
USGS	13337000	1983-06-21	4010	A
USGS	13337000	1983-06-22	3690	A
USGS	13337000	1983-06-23	3630	A
USGS	13337000	1983-06-24	3820	A
USGS	13337000	1983-06-25	3630	A
USGS	13337000	1983-06-26	3360	A
USGS	13337000	1983-06-27	3330	A
USGS	13337000	1983-06-28	3820	A
USGS	13337000	1983-06-29	3970	A
USGS	13337000	1983-06-30	3730	A
USGS	13337000	1983-07-01	3670	A
USGS	13337000	1983-07-02	5000	A
USGS	13337000	1983-07-03	4880	A
USGS	13337000	1983-07-04	3990	A
USGS	13337000	1983-07-05	3450	A
USGS	13337000	1983-07-06	3220	A
USGS	13337000	1983-07-07	3130	A
USGS	13337000	1983-07-08	2950	A
USGS	13337000	1983-07-09	2760	A
USGS	13337000	1983-07-10	3360	A
USGS	13337000	1983-07-11	3650	A
USGS	13337000	1983-07-12	2890	A
USGS	13337000	1983-07-13	2610	A
USGS	13337000	1983-07-14	2830	A
USGS	13337000	1983-07-15	2960	A
USGS	13337000	1983-07-16	2680	A
USGS	13337000	1983-07-17	2390	A
USGS	13337000	1983-07-18	2200	A
USGS	13337000	1983-07-19	2130	A
USGS	13337000	1983-07-20	2200	A
USGS	13337000	1983-07-21	2550	A
USGS	13337000	1983-07-22	2130	A
USGS	13337000	1983-07-23	1930	A
USGS	13337000	1983-07-24	1860	A
USGS	13337000	1983-07-25	1870	A
USGS	13337000	1983-07-26	1740	A
USGS	13337000	1983-07-27	1610	A
USGS	13337000	1983-07-28	1520	A
USGS	13337000	1983-07-29	1430	A
USGS	13337000	1983-07-30	1360	A
USGS	13337000	1983-07-31	1300	A
USGS	13337000	1983-08-01	1260	A
USGS	13337000	1983-08-02	1250	A
USGS	13337000	1983-08-03	1160	A
USGS	13337000	1983-08-04	1110	A
USGS	13337000	1983-08-05	1090	A
USGS	13337000	1983-08-06	1050	A
USGS	13337000	1983-08-07	991	A
USGS	13337000	1983-08-08	970	A
USGS	13337000	1983-08-09	950	A
USGS	13337000	1983-08-10	991	A
USGS	13337000	1983-08-11	1200	A
USGS	13337000	1983-08-12	1160	A
USGS	13337000	1983-08-13	970	A
USGS	13337000	1983-08-14	891	A
USGS	13337000	1983-08-15	853	A
USGS	13337000	1983-08-16	806	A
USGS	13337000	1983-08-17	778	A
USGS	13337000	1983-08-18	733	A
USGS	13337000	1983-08-19	698	A
USGS	13337000	1983-08-20	673	A
USGS	13337000	1983-08-21	665	A
USGS	13337000	1983-08-22	673	A
USGS	13337000	1983-08-23	742	A
USGS	13337000	1983-08-24	707	A
USGS	13337000	1983-08-25	673	A
USGS	13337000	1983-08-26	633	A
USGS	13337000	1983-08-27	609	A
USGS	13337000	1983-08-28	585	A
USGS	13337000	1983-08-29	556	A
USGS	13337000	1983-08-30	541	A
USGS	13337000	1983-08-31	520	A
USGS	13337000	1983-09-01	563	A
USGS	13337000	1983-09-02	769	A
USGS	13337000	1983-09-03	751	A
USGS	13337000	1983-09-04	625	A
USGS	13337000	1983-09-05	578	A
USGS	13337000	1983-09-06	548	A
USGS	13337000	1983-09-07	527	A
USGS	13337000	1983-09-08	513	A
USGS	13337000	1983-09-09	513	A
USGS	13337000	1983-09-10	513	A
USGS	13337000	1983-09-11	806	A
USGS	13337000	1983-09-12	911	A
USGS	13337000	1983-09-13	725	A
USGS	13337000	1983-09-14	617	A
USGS	13337000	1983-09-15	570	A
USGS	13337000	1983-09-16	541	A
USGS	13337000	1983-09-17	513	A
USGS	13337000	1983-09-18	506	A
USGS	13337000	1983-09-19	657	A
USGS	13337000	1983-09-20	617	A
USGS	13337000	1983-09-21	563	A
USGS	13337000	1983-09-22	563	A
USGS	13337000	1983-09-23	563	A
USGS	13337000	1983-09-24	556	A
USGS	13337000	1983-09-25	527	A
USGS	13337000	1983-09-26	513	A
USGS	13337000	1983-09-27	499	A
USGS	13337000	1983-09-28	492	A
USGS	13337000	1983-09-29	485	A
USGS	13337000	1983-09-30	478	A
USGS	13337000	1983-10-01	499	A
USGS	13337000	1983-10-02	506	A
USGS	13337000	1983-10-03	492	A
USGS	13337000	1983-10-04	492	A
USGS	13337000	1983-10-05	601	A
USGS	13337000	1983-10-06	630	A
USGS	13337000	1983-10-07	548	A
USGS	13337000	1983-10-08	513	A
USGS	13337000	1983-10-09	555	A
USGS	13337000	1983-10-10	706	A
USGS	13337000	1983-10-11	796	A
USGS	13337000	1983-10-12	698	A
USGS	13337000	1983-10-13	622	A
USGS	13337000	1983-10-14	600	A
USGS	13337000	1983-10-15	615	A
USGS	13337000	1983-10-16	600	A
USGS	13337000	1983-10-17	578	A
USGS	13337000	1983-10-18	656	A
USGS	13337000	1983-10-19	660	A
USGS	13337000	1983-10-20	615	A
USGS	13337000	1983-10-21	594	A
USGS	13337000	1983-10-22	607	A
USGS	13337000	1983-10-23	903	A
USGS	13337000	1983-10-24	921	A
USGS	13337000	1983-10-25	778	A
USGS	13337000	1983-10-26	711	A
USGS	13337000	1983-10-27	673	A
USGS	13337000	1983-10-28	638	A
USGS	13337000	1983-10-29	632	A
USGS	13337000	1983-10-30	626	A
USGS	13337000	1983-10-31	618	A
USGS	13337000	1983-11-01	607	A
USGS	13337000	1983-11-02	653	A
USGS	13337000	1983-11-03	713	A
USGS	13337000	1983-11-04	1060	A
USGS	13337000	1983-11-05	1290	A
USGS	13337000	1983-11-06	1160	A
USGS	13337000	1983-11-07	1620	A
USGS	13337000	1983-11-08	1410	A
USGS	13337000	1983-11-09	1180	A
USGS	13337000	1983-11-10	1060	A
USGS	13337000	1983-11-11	1410	A
USGS	13337000	1983-11-12	1940	A
USGS	13337000	1983-11-13	1630	A
USGS	13337000	1983-11-14	1470	A
USGS	13337000	1983-11-15	1350	A
USGS	13337000	1983-11-16	1330	A
USGS	13337000	1983-11-17	1490	A
USGS	13337000	1983-11-18	1530	A
USGS	13337000	1983-11-19	1440	A
USGS	13337000	1983-11-20	1300	A
USGS	13337000	1983-11-21	1200	A
USGS	13337000	1983-11-22	1030	A
USGS	13337000	1983-11-23	868	A
USGS	13337000	1983-11-24	1060	A
USGS	13337000	1983-11-25	1220	A
USGS	13337000	1983-11-26	1110	A
USGS	13337000	1983-11-27	1050	A
USGS	13337000	1983-11-28	1040	A
USGS	13337000	1983-11-29	938	A
USGS	13337000	1983-11-30	694	A
USGS	13337000	1983-12-01	667	A
USGS	13337000	1983-12-02	640	A
USGS	13337000	1983-12-03	630	A
USGS	13337000	1983-12-04	640	A
USGS	13337000	1983-12-05	650	A
USGS	13337000	1983-12-06	660	A
USGS	13337000	1983-12-07	670	A
USGS	13337000	1983-12-08	745	A
USGS	13337000	1983-12-09	798	A
USGS	13337000	1983-12-10	995	A
USGS	13337000	1983-12-11	1020	A
USGS	13337000	1983-12-12	946	A
USGS	13337000	1983-12-13	907	A
USGS	13337000	1983-12-14	941	A
USGS	13337000	1983-12-15	956	A
USGS	13337000	1983-12-16	896	A
USGS	13337000	1983-12-17	790	A
USGS	13337000	1983-12-18	614	A
USGS	13337000	1983-12-19	540	A
USGS	13337000	1983-12-20	480	A
USGS	13337000	1983-12-21	450	A
USGS	13337000	1983-12-22	430	A
USGS	13337000	1983-12-23	420	A
USGS	13337000	1983-12-24	410	A
USGS	13337000	1983-12-25	410	A
USGS	13337000	1983-12-26	410	A
USGS	13337000	1983-12-27	420	A
USGS	13337000	1983-12-28	440	A
USGS	13337000	1983-12-29	460	A
USGS	13337000	1983-12-30	480	A
USGS	13337000	1983-12-31	520	A
USGS	13337000	1984-01-01	580	A
USGS	13337000	1984-01-02	966	A
USGS	13337000	1984-01-03	1740	A
USGS	13337000	1984-01-04	2000	A
USGS	13337000	1984-01-05	2300	A
USGS	13337000	1984-01-06	2500	A
USGS	13337000	1984-01-07	2650	A
USGS	13337000	1984-01-08	2200	A
USGS	13337000	1984-01-09	2000	A
USGS	13337000	1984-01-10	1800	A
USGS	13337000	1984-01-11	1650	A
USGS	13337000	1984-01-12	1450	A
USGS	13337000	1984-01-13	1350	A
USGS	13337000	1984-01-14	1150	A
USGS	13337000	1984-01-15	800	A
USGS	13337000	1984-01-16	750	A
USGS	13337000	1984-01-17	710	A
USGS	13337000	1984-01-18	700	A
USGS	13337000	1984-01-19	700	A
USGS	13337000	1984-01-20	710	A
USGS	13337000	1984-01-21	750	A
USGS	13337000	1984-01-22	780	A
USGS	13337000	1984-01-23	950	A
USGS	13337000	1984-01-24	1300	A
USGS	13337000	1984-01-25	3100	A
USGS	13337000	1984-01-26	3000	A
USGS	13337000	1984-01-27	2100	A
USGS	13337000	1984-01-28	1800	A
USGS	13337000	1984-01-29	1650	A
USGS	13337000	1984-01-30	1550	A
USGS	13337000	1984-01-31	1450	A
USGS	13337000	1984-02-01	1400	A
USGS	13337000	1984-02-02	1350	A
USGS	13337000	1984-02-03	1280	A
USGS	13337000	1984-02-04	1220	A
USGS	13337000	1984-02-05	1180	A
USGS	13337000	1984-02-06	1150	A
USGS	13337000	1984-02-07	1180	A
USGS	13337000	1984-02-08	1140	A
USGS	13337000	1984-02-09	1120	A
USGS	13337000	1984-02-10	1140	A
USGS	13337000	1984-02-11	1130	A
USGS	13337000	1984-02-12	1120	A
USGS	13337000	1984-02-13	1400	A
USGS	13337000	1984-02-14	1780	A
USGS	13337000	1984-02-15	1640	A
USGS	13337000	1984-02-16	1530	A
USGS	13337000	1984-02-17	1480	A
USGS	13337000	1984-02-18	1380	A
USGS	13337000	1984-02-19	1240	A
USGS	13337000	1984-02-20	1210	A
USGS	13337000	1984-02-21	1320	A
USGS	13337000	1984-02-22	1280	A
USGS	13337000	1984-02-23	1210	A
USGS	13337000	1984-02-24	1190	A
USGS	13337000	1984-02-25	1160	A
USGS	13337000	1984-02-26	1140	A
USGS	13337000	1984-02-27	1090	A
USGS	13337000	1984-02-28	1080	A
USGS	13337000	1984-02-29	1090	A
USGS	13337000	1984-03-01	1100	A
USGS	13337000	1984-03-02	1220	A
USGS	13337000	1984-03-03	1230	A
USGS	13337000	1984-03-04	1180	A
USGS	13337000	1984-03-05	1150	A
USGS	13337000	1984-03-06	1110	A
USGS	13337000	1984-03-07	1120	A
USGS	13337000	1984-03-08	1160	A
USGS	13337000	1984-03-09	1290	A
USGS	13337000	1984-03-10	1530	A
USGS	13337000	1984-03-11	1970	A
USGS	13337000	1984-03-12	2050	A
USGS	13337000	1984-03-13	2140	A
USGS	13337000	1984-03-14	2960	A
USGS	13337000	1984-03-15	3190	A
USGS	13337000	1984-03-16	2820	A
USGS	13337000	1984-03-17	2660	A
USGS	13337000	1984-03-18	2420	A
USGS	13337000	1984-03-19	2280	A
USGS	13337000	1984-03-20	2630	A
USGS	13337000	1984-03-21	3530	A
USGS	13337000	1984-03-22	3640	A
USGS	13337000	1984-03-23	3350	A
USGS	13337000	1984-03-24	3280	A
USGS	13337000	1984-03-25	3010	A
USGS	13337000	1984-03-26	2930	A
USGS	13337000	1984-03-27	2660	A
USGS	13337000	1984-03-28	2450	A
USGS	13337000	1984-03-29	2280	A
USGS	13337000	1984-03-30	2140	A
USGS	13337000	1984-03-31	2060	A
USGS	13337000	1984-04-01	2060	A
USGS	13337000	1984-04-02	2050	A
USGS	13337000	1984-04-03	2010	A
USGS	13337000	1984-04-04	2050	A
USGS	13337000	1984-04-05	2320	A
USGS	13337000	1984-04-06	2790	A
USGS	13337000	1984-04-07	2640	A
USGS	13337000	1984-04-08	2790	A
USGS	13337000	1984-04-09	2840	A
USGS	13337000	1984-04-10	2770	A
USGS	13337000	1984-04-11	2660	A
USGS	13337000	1984-04-12	2480	A
USGS	13337000	1984-04-13	2400	A
USGS	13337000	1984-04-14	2450	A
USGS	13337000	1984-04-15	3130	A
USGS	13337000	1984-04-16	4720	A
USGS	13337000	1984-04-17	6920	A
USGS	13337000	1984-04-18	7700	A
USGS	13337000	1984-04-19	7950	A
USGS	13337000	1984-04-20	7580	A
USGS	13337000	1984-04-21	6480	A
USGS	13337000	1984-04-22	6050	A
USGS	13337000	1984-04-23	6720	A
USGS	13337000	1984-04-24	6050	A
USGS	13337000	1984-04-25	5410	A
USGS	13337000	1984-04-26	4900	A
USGS	13337000	1984-04-27	4420	A
USGS	13337000	1984-04-28	4130	A
USGS	13337000	1984-04-29	3850	A
USGS	13337000	1984-04-30	3650	A
USGS	13337000	1984-05-01	3730	A
USGS	13337000	1984-05-02	4360	A
USGS	13337000	1984-05-03	4440	A
USGS	13337000	1984-05-04	4170	A
USGS	13337000	1984-05-05	4060	A
USGS	13337000	1984-05-06	3870	A
USGS	13337000	1984-05-07	3730	A
USGS	13337000	1984-05-08	3960	A
USGS	13337000	1984-05-09	5260	A
USGS	13337000	1984-05-10	5500	A
USGS	13337000	1984-05-11	5610	A
USGS	13337000	1984-05-12	7700	A
USGS	13337000	1984-05-13	8950	A
USGS	13337000	1984-05-14	12300	A
USGS	13337000	1984-05-15	13600	A
USGS	13337000	1984-05-16	10900	A
USGS	13337000	1984-05-17	9280	A
USGS	13337000	1984-05-18	9200	A
USGS	13337000	1984-05-19	10200	A
USGS	13337000	1984-05-20	13800	A
USGS	13337000	1984-05-21	12200	A
USGS	13337000	1984-05-22	10200	A
USGS	13337000	1984-05-23	11900	A
USGS	13337000	1984-05-24	10400	A
USGS	13337000	1984-05-25	9100	A
USGS	13337000	1984-05-26	9000	A
USGS	13337000	1984-05-27	9800	A
USGS	13337000	1984-05-28	10200	A
USGS	13337000	1984-05-29	10700	A
USGS	13337000	1984-05-30	16400	A
USGS	13337000	1984-05-31	20000	A
USGS	13337000	1984-06-01	14200	A
USGS	13337000	1984-06-02	12100	A
USGS	13337000	1984-06-03	11000	A
USGS	13337000	1984-06-04	10900	A
USGS	13337000	1984-06-05	11400	A
USGS	13337000	1984-06-06	11200	A
USGS	13337000	1984-06-07	11400	A
USGS	13337000	1984-06-08	10600	A
USGS	13337000	1984-06-09	9620	A
USGS	13337000	1984-06-10	9280	A
